,mouse,expDate,pumpTime (ms),-5,-4,-3,-2,-1,0,1,2,3,4
609,Mouse04394,062220,992929,4.8278608322143555,5.2304558753967285,4.631613731384277,3.9920339584350586,4.00748872756958,4.645188331604004,4.518882751464844,4.221026420593262,2.619197130203247,3.8637566566467285
610,Mouse04395,062520,996537,4.412111282348633,3.8869595527648926,5.261242866516113,3.860595703125,4.336651802062988,3.776283025741577,5.56251335144043,3.5735578536987305,3.5287890434265137,3.3461074829101562
611,Mouse04395,062720,996773,3.5218892097473145,3.312138795852661,4.4297380447387695,1.6217877864837646,3.07661771774292,3.035613536834717,3.431715488433838,2.2157633304595947,1.015385389328003,2.416016101837158
612,Mouse04393,060120,997283,4.575195789337158,3.1145429611206055,3.9466824531555176,4.371811389923096,5.506596565246582,4.054388999938965,2.9772067070007324,3.9628965854644775,3.883042573928833,5.341534614562988
613,Mouse04394,062520,998953,4.782483100891113,5.210339546203613,5.179777145385742,4.48388671875,4.915243148803711,3.592583417892456,5.20336389541626,5.25931978225708,5.621284008026123,4.278097152709961
614,Mouse04391,061320,1000891,5.976082801818848,0.1482936590909958,0.5032877922058105,1.8568317890167236,0.34082257747650146,4.973622798919678,5.329519271850586,4.296336650848389,4.239938259124756,2.1495704650878906
615,Mouse04395,062820,1002592,5.111884593963623,0.3324049115180969,0.9747895002365112,5.749659538269043,0.7003231048583984,0.4903772175312042,3.275719165802002,1.417371392250061,1.7909979820251465,3.736967086791992
616,Mouse04383,062520,1002625,2.967351198196411,5.042330741882324,3.7424073219299316,2.7953076362609863,6.012006759643555,3.4964473247528076,4.35842752456665,4.85280179977417,3.9372005462646484,2.587181806564331
617,Mouse04394,062220,1003265,6.047989845275879,4.790169715881348,6.248642921447754,4.0939412117004395,4.655251979827881,3.8810079097747803,5.273969650268555,5.055057048797607,3.9055440425872803,5.917279243469238
618,Mouse04395,062920,1004626,5.099203109741211,4.039830684661865,5.100046157836914,4.5589776039123535,4.109086513519287,3.552523136138916,4.90767240524292,2.3150413036346436,3.2078001499176025,4.129891395568848
619,Mouse04394,062620,1007514,7.275341510772705,7.1388444900512695,4.54245662689209,4.5217509269714355,4.2522478103637695,4.398233890533447,4.101438045501709,4.421773433685303,4.8472900390625,5.468172073364258
620,Mouse04391,061320,1009535,4.834267616271973,0.35121339559555054,2.3362197875976562,2.1285476684570312,2.738762378692627,2.379627227783203,4.231253623962402,4.363986968994141,4.537902355194092,4.385364532470703
621,Mouse04393,053020,1012318,4.220165729522705,4.893743991851807,4.414835453033447,4.577694892883301,4.792934894561768,4.16209602355957,5.54494571685791,4.646792411804199,4.4394073486328125,4.68572998046875
622,Mouse04383,062520,1013424,3.4360694885253906,3.103393316268921,3.865832567214966,2.8452844619750977,3.43263578414917,2.05568528175354,4.079252243041992,4.6805949211120605,4.161881923675537,4.551362037658691
623,Mouse04394,062220,1013581,4.299681186676025,4.1580729484558105,4.497256278991699,6.140209674835205,3.9626595973968506,4.618227958679199,6.082233428955078,3.5159106254577637,5.513769626617432,4.480171203613281
624,Mouse04394,062520,1016521,4.856726169586182,5.0088605880737305,6.654013156890869,3.807769536972046,4.065392971038818,3.919285774230957,4.758724689483643,6.930886268615723,3.9701859951019287,4.472196102142334
625,Mouse04395,062920,1017093,3.579118490219116,4.215704441070557,3.7775142192840576,3.9359610080718994,4.358425140380859,2.632408380508423,4.732616424560547,3.7659988403320312,4.870302677154541,4.136411190032959
626,Mouse04393,060120,1018225,5.029822826385498,4.929235458374023,4.545646667480469,4.611239910125732,4.366050720214844,4.6733479499816895,4.193951606750488,4.6789679527282715,5.913394927978516,4.733713626861572
627,Mouse04394,062420,1019492,5.163264274597168,4.542046070098877,4.825962543487549,5.1002020835876465,4.14572286605835,7.241373538970947,4.388223648071289,4.391984939575195,4.800340175628662,4.5651326179504395
628,Mouse04384,071820,1020777,7.238467216491699,3.775341272354126,4.883474349975586,4.313187599182129,4.436528205871582,4.436570644378662,2.34531307220459,2.9730777740478516,3.423408031463623,3.3125298023223877
629,Mouse04395,063020,1020842,2.545511245727539,4.150561332702637,3.361389636993408,2.422522783279419,4.271698474884033,3.439688205718994,3.834275245666504,3.381577968597412,3.1982247829437256,2.9165518283843994
630,Mouse04394,070220,1020922,6.2807793617248535,4.5099897384643555,4.035649299621582,4.936495304107666,4.535715579986572,5.010462760925293,5.4522552490234375,4.461780548095703,4.646682262420654,5.566928863525391
631,Mouse04391,061320,1021018,1.214079737663269,0.6804044842720032,0.2948076128959656,2.252340078353882,3.1246490478515625,3.475898265838623,3.936546564102173,5.172243595123291,3.0676543712615967,4.494725704193115
632,Mouse04394,062620,1021606,7.449723720550537,6.123641014099121,4.2424798011779785,4.3885579109191895,5.671245098114014,4.39237117767334,4.670383453369141,3.9988484382629395,6.213028430938721,4.979430198669434
633,Mouse04393,053020,1021871,3.6163041591644287,3.3966431617736816,5.268939971923828,4.1363444328308105,4.99951696395874,4.569101333618164,5.39851713180542,5.407479763031006,3.8341543674468994,5.89290714263916
634,Mouse04383,062520,1023926,3.458317995071411,3.9347145557403564,4.7237229347229,5.599984645843506,3.5593080520629883,4.493565082550049,4.730173110961914,3.409224271774292,4.929361343383789,2.9697213172912598
635,Mouse04394,062220,1024130,5.457468032836914,2.993572235107422,4.318643093109131,4.940039157867432,4.1245880126953125,3.4803733825683594,4.658934116363525,4.547962665557861,3.5167744159698486,5.083127498626709
636,Mouse04395,062920,1029506,4.340419769287109,3.968050956726074,3.3107969760894775,3.9788761138916016,5.354343891143799,6.231347560882568,4.987878799438477,4.78966760635376,3.8589212894439697,3.7395434379577637
637,Mouse04394,062420,1032479,4.224843978881836,3.786153793334961,5.198670387268066,3.6309516429901123,2.7593448162078857,4.2413249015808105,4.095260143280029,3.8650760650634766,3.7740561962127686,3.2237119674682617
638,Mouse04395,062520,1033359,4.878219127655029,3.2713634967803955,3.9000966548919678,4.340897083282471,2.9772579669952393,4.387515068054199,5.911870956420898,6.380095481872559,2.3979239463806152,4.784296035766602
639,Mouse04383,062520,1034967,3.330291509628296,4.767207145690918,4.604478359222412,3.0640246868133545,4.725427627563477,4.298455238342285,4.444803237915039,3.8995587825775146,4.092791557312012,5.478639125823975
640,Mouse04393,053020,1035160,4.702815532684326,4.932361125946045,4.190077304840088,4.463451385498047,4.975121021270752,4.993033409118652,5.029108047485352,3.7767982482910156,4.537593364715576,4.712357997894287
641,Mouse04394,062620,1037053,6.364533424377441,6.419430255889893,4.793025493621826,4.544739723205566,4.889926910400391,3.3980748653411865,2.8999955654144287,5.930413246154785,6.231386661529541,3.567701578140259
642,Mouse04384,071820,1037345,3.215458631515503,3.3821332454681396,3.369640588760376,2.7340550422668457,4.455063819885254,3.287532329559326,5.102771759033203,4.32204532623291,2.0472772121429443,4.043858528137207
643,Mouse04384,061920,1037580,7.199995040893555,5.01963996887207,6.106952667236328,4.392972946166992,5.069717884063721,4.128896236419678,3.8011631965637207,4.325613498687744,4.162162780761719,1.7237697839736938
644,Mouse04391,062620,1039010,5.124046802520752,5.34165096282959,6.373441696166992,3.8813188076019287,5.141648769378662,2.8437187671661377,2.160261392593384,3.5578064918518066,4.598033428192139,5.780636310577393
645,Mouse04394,062520,1039828,4.475777626037598,4.238656044006348,7.725786209106445,6.835042476654053,4.388305187225342,4.694157600402832,4.173851490020752,6.887674808502197,5.0359787940979,4.164459705352783
646,Mouse04394,062320,1040028,5.044177055358887,3.9821016788482666,5.588836669921875,4.996796131134033,3.547910213470459,4.398518085479736,5.274625778198242,3.808816909790039,4.144355773925781,4.6783647537231445
647,Mouse04384,062020,1041379,4.306759357452393,5.190178871154785,5.193075180053711,4.376160621643066,5.667571544647217,5.409097194671631,5.745363235473633,4.489973068237305,4.568847179412842,3.569505214691162
648,Mouse04393,060120,1043175,8.289772987365723,4.820716381072998,4.432100772857666,4.073545455932617,5.1787285804748535,5.049325466156006,4.514341354370117,4.838021278381348,5.568161964416504,4.4527177810668945
649,Mouse04394,062220,1043283,5.4958672523498535,3.9396848678588867,4.361446857452393,5.788034439086914,5.410097122192383,5.713117599487305,4.6882476806640625,4.277828216552734,3.489703416824341,3.4959499835968018
650,Mouse04395,062720,1044429,2.190577268600464,2.8748393058776855,2.995377779006958,3.337830066680908,3.679563283920288,3.8032875061035156,3.681800365447998,3.4819486141204834,4.355166435241699,2.5893466472625732
651,Mouse04391,061320,1044860,1.9263122081756592,1.691947340965271,1.9291976690292358,5.055263042449951,2.8236818313598633,2.6436972618103027,5.008221626281738,5.169305801391602,3.8592562675476074,7.08098030090332
652,Mouse04383,062520,1047853,5.150280475616455,4.355557441711426,3.065897226333618,4.33164644241333,3.1935079097747803,3.574894666671753,2.8257505893707275,3.4605066776275635,3.547003984451294,4.789283275604248
653,Mouse04384,062020,1048913,4.701630592346191,4.965887069702148,6.012091636657715,4.502022743225098,5.557674884796143,5.768648624420166,4.282125473022461,3.6270623207092285,4.508892059326172,3.8621737957000732
654,Mouse04394,062320,1050672,3.254676580429077,4.343698501586914,4.259637355804443,5.356250762939453,4.019086837768555,3.48136043548584,5.155048370361328,5.737290859222412,4.640735149383545,5.747715950012207
655,Mouse04391,062620,1050780,3.8927865028381348,4.163837909698486,1.329360842704773,2.8998610973358154,2.1609036922454834,2.652120590209961,2.930414915084839,3.650463819503784,3.5017385482788086,1.6083524227142334
656,Mouse04384,071820,1050792,5.562909126281738,3.3151965141296387,3.380112886428833,4.384278774261475,2.943908214569092,3.015239715576172,3.1844656467437744,4.3332200050354,8.058507919311523,4.281099319458008
657,Mouse04395,062520,1051378,3.9406838417053223,3.324294090270996,4.922050476074219,3.186366081237793,4.821690082550049,3.0998687744140625,4.54797887802124,3.7829644680023193,4.806652545928955,4.835072040557861
658,Mouse04395,062720,1055249,2.4047210216522217,3.22434663772583,5.290929317474365,5.515508651733398,5.0833539962768555,2.8502800464630127,2.629920721054077,5.082101821899414,2.801978349685669,4.034847259521484
659,Mouse04394,062720,1055474,4.541906356811523,5.448081970214844,4.40847635269165,4.0239481925964355,7.865575790405273,4.517803192138672,5.14097261428833,4.6777873039245605,4.150040149688721,4.383316516876221
