mouse,time,openArms,bxcx_n1_scores,bxcx_n2_scores,n1_scores,n2_scores
11.0,7,1.0,-5.4807028620930005,-35.82087769998629,0.09382414401408454,0.162737139028169
11.0,8,1.0,-5.639032667993485,-36.635538350379996,0.09059168159154929,0.1612823213802817
11.0,9,1.0,-5.610232111808881,-34.51625423021757,0.0911660243661972,0.16516522585915494
11.0,10,1.0,-5.643204750186625,-35.90750632762117,0.09050897146478874,0.16258026470422535
11.0,11,1.0,-5.497124442881844,-31.080846712793683,0.09348019145070426,0.17221806766197187
1.0,1,0.0,-4.80835476316069,-41.2812989698009,0.10990575551612905,0.15376806074193547
1.0,2,0.0,-4.911224061967968,-38.962905300786616,0.10716492113432839,0.1573622623582089
1.0,3,0.0,-4.995553273229655,-40.723856205222916,0.10500027357971015,0.15460621336231886
1.0,4,0.0,-5.093614909893538,-40.890063690877085,0.10257153554761908,0.15435464828571432
1.0,5,0.0,-5.134299249373541,-40.597531417715224,0.10159068636666664,0.15479837007777777
1.0,6,0.0,-5.009803445570303,-40.374608659639506,0.10464153483124998,0.15513950066249996
1.0,7,0.0,-4.875142543806973,-39.832109873956476,0.10811344309782613,0.15598071581521736
1.0,8,0.0,-4.77498373283187,-39.86831428183375,0.11081954785106382,0.15592408135106384
1.0,9,0.0,-4.570627311307783,-33.696361170943874,0.11669641906172838,0.1667573291851852
1.0,10,0.0,-4.62261040457393,-34.402768549398324,0.11515403239240501,0.16538245263291138
1.0,11,0.0,-4.654747739041101,-33.21892464227222,0.11421705876315787,0.1677094140131579
2.0,1,0.0,-5.075442859722946,-31.44428396318011,0.1030146461559633,0.17142182524770633
2.0,2,0.0,-4.995424677402096,-30.55801590352656,0.10500352003211004,0.17338643049541283
2.0,3,0.0,-5.0016636131334655,-30.275233018592704,0.10484620428899079,0.17402996805963303
2.0,4,0.0,-4.952114764559714,-28.622050249298127,0.10610629013761465,0.17796617925229363
2.0,5,0.0,-4.867843771487784,-27.440458655471737,0.10830698244495411,0.18097779021559635
2.0,6,0.0,-4.831958141439908,-27.619016770835717,0.10926683044954123,0.18051128485321105
2.0,7,0.0,-4.82905705348262,-28.306230539406112,0.10934503340825684,0.1787540615963303
2.0,8,0.0,-4.829766276582061,-28.834816188818795,0.10932590685321093,0.17744213967431188
2.0,9,0.0,-4.9052403805271565,-29.858354801737946,0.10732128031192657,0.17499400961467887
2.0,10,0.0,-4.974651756987869,-31.385389076444053,0.10553009978899079,0.1715499877798165
2.0,11,0.0,-5.041694070065762,-32.08090250958414,0.10384591961467886,0.17005736920183484
3.0,1,0.0,-3.7121738075330164,-32.09592356666901,0.14800152343750003,0.17002562878365393
3.0,2,0.0,-3.661124692166029,-31.598559551969377,0.1502868485873787,0.1710876739611651
3.0,3,0.0,-3.7182890595848215,-32.91937913848799,0.14773156757619058,0.16831650039523813
3.0,4,0.0,-3.7342027890148746,-33.62373415018693,0.14703281597169823,0.16690094857075474
3.0,5,0.0,-3.7247447435752914,-34.6056269986698,0.14744745455607486,0.16499485075233644
3.0,6,0.0,-3.6753031907218374,-33.56450160443382,0.1496463687284483,0.1670183994439656
3.0,7,0.0,-3.683142116314092,-34.042983903578694,0.14929417429302336,0.16607775382790707
3.0,8,0.0,-3.7102990765489023,-35.637675484125175,0.14808444415023483,0.1630706379859155
3.0,9,0.0,-3.6899381640896074,-34.56530054916282,0.14898992891428578,0.1650716510952381
3.0,10,0.0,-3.6888409900123813,-34.460361036933385,0.14903897864423082,0.16527208886057698
3.0,11,0.0,-3.684568297397167,-34.424182091344576,0.14923024300000012,0.16534138820952385
4.0,1,0.0,-6.94337442912492,-11.919626099559485,0.06967039308290157,0.25151417341968907
4.0,2,0.0,-6.952815650919362,-11.749135572317654,0.06954855695854924,0.2529329435751296
4.0,3,0.0,-6.98272700053113,-11.819846692454817,0.06916484737823836,0.25234113660621754
4.0,4,0.0,-7.07968807340865,-12.032822311475533,0.06794446577720208,0.2505873189119171
4.0,5,0.0,-7.095704193009276,-12.240702311281067,0.06774626459278352,0.24891565407216482
4.0,6,0.0,-7.027813953511018,-12.466923831120935,0.06859295586597938,0.24713978345360818
4.0,7,0.0,-6.954516664992816,-12.962770760922663,0.06952664286010365,0.2433962661139896
4.0,8,0.0,-6.877014835574295,-12.757857274580605,0.07053666447150261,0.2449192915025906
4.0,9,0.0,-6.919201554181644,-12.584429472888761,0.06998392983937826,0.24623454310880818
4.0,10,0.0,-6.766938270702639,-12.344235043684789,0.07201295155440415,0.24809741823834192
4.0,11,0.0,-6.677822417519876,-11.66862146801548,0.07324545255440416,0.2536127086528496
5.0,1,0.0,-6.334288445266249,-18.285544806831265,0.07833496662420382,0.21258620554140126
5.0,2,0.0,-6.318681877309138,-18.47512210754858,0.07857980770186335,0.21172166347826085
5.0,3,0.0,-6.2184819716774635,-17.38658565115171,0.08018198091194965,0.21685993911949686
5.0,4,0.0,-6.342703050242604,-18.16273082744032,0.07820347175949363,0.21315288132911386
5.0,5,0.0,-6.25007844447216,-18.893427770425106,0.07967104607453412,0.20985643953416147
5.0,6,0.0,-6.29531392932276,-19.208929917169584,0.07894875491052628,0.20848675989473683
5.0,7,0.0,-6.274353753357454,-18.857862612355856,0.07928209880981593,0.21001280871165648
5.0,8,0.0,-6.318934462336134,-19.666340463170375,0.07857583512179489,0.2065550239423077
5.0,9,0.0,-6.268813583366509,-20.316289961186275,0.07937059192452829,0.2039140060377358
5.0,10,0.0,-6.152830492101503,-19.753165575857857,0.0812608699575757,0.206195314939394
5.0,11,0.0,-6.18647233940743,-19.812906084156403,0.08070507359999998,0.20594907581249994
6.0,1,0.0,-6.722907001380372,-16.193598901894134,0.07261765128104575,0.2230237890718955
6.0,2,0.0,-6.688606362355889,-15.59855465535475,0.07309448242763159,0.22633591102631578
6.0,3,0.0,-6.762979477749092,-17.05643718227751,0.07206698246979863,0.21850637479865778
6.0,4,0.0,-6.6754643459027685,-16.77124913806473,0.07327853226845632,0.2199641750268457
6.0,5,0.0,-6.744026829063145,-17.4738745771694,0.07232657369078943,0.2164317874934211
6.0,6,0.0,-6.718382960665272,-17.266460825938655,0.07268025121893489,0.21745399608875754
6.0,7,0.0,-6.781037400290672,-18.5409132447244,0.07182105807643309,0.2114244752165606
6.0,8,0.0,-6.7728357773298,-18.429979195336635,0.07193258297452225,0.2119264230127389
6.0,9,0.0,-6.66668808621592,-17.68632822973053,0.07340186274193547,0.21540185725806454
6.0,10,0.0,-6.690842286249549,-18.153288725396507,0.07306324412499998,0.21319666588815794
6.0,11,0.0,-6.697367095820586,-17.78729110936243,0.0729722098782051,0.21491834294871795
7.0,1,0.0,-5.765756904596645,-23.479589729964818,0.0881333227142857,0.19254513452463065
7.0,2,0.0,-5.783433024705262,-23.809510279061907,0.08779907738048776,0.19148148693658537
7.0,3,0.0,-5.79908145036291,-24.012401697569214,0.08750489786893198,0.19083742402427187
7.0,4,0.0,-5.772061788367668,-24.006278582331085,0.08801386300239797,0.19085675131414875
7.0,5,0.0,-5.790360446805467,-24.170026510257696,0.0876686478164705,0.190342219642353
7.0,6,0.0,-5.793935164139685,-24.570758539176875,0.08760146667824065,0.1891030856064815
7.0,7,0.0,-5.78272968070913,-25.531084567108625,0.08781233765962435,0.18624396096713622
7.0,8,0.0,-5.795426819519407,-25.732932307517956,0.08757345822985776,0.18566186547867308
7.0,9,0.0,-5.7636488917743876,-25.239240425680528,0.08817332264608069,0.18709692979097395
7.0,10,0.0,-5.784230953985921,-25.321161642574534,0.08778403782409637,0.18685612910120492
7.0,11,0.0,-5.809232162306916,-25.531756831765133,0.08731493088564478,0.18624201172019467
8.0,1,0.0,-4.784299136849368,-32.7900539046411,0.11056322159641258,0.1685809756950672
8.0,2,0.0,-4.811121565427042,-34.413756339995224,0.10983054517117116,0.16536137708558551
8.0,3,0.0,-4.744706227467782,-32.154805233841735,0.11165941235135135,0.16990140649999988
8.0,4,0.0,-4.752116054147788,-31.843905193754175,0.11145291391517857,0.17056090197321422
8.0,5,0.0,-4.74594492244971,-32.13447990699588,0.11162484871111117,0.16994425104888877
