minute_net_1_scores,minute_net_2_scores,minute_time,minute_mouse,minute_flx,minute_expDate
0.08185669,0.14268449,3000,Mouse78743,0.0,040623
0.08150421,0.13787542,3060,Mouse78743,0.0,040623
0.086857885,0.1330052,3120,Mouse78743,0.0,040623
0.08264939,0.11919223,3180,Mouse78743,0.0,040623
0.08621352,0.14313063,3240,Mouse78743,0.0,040623
0.09339776,0.15267928,3300,Mouse78743,0.0,040623
0.08810257,0.14218232,3360,Mouse78743,0.0,040623
0.08413045,0.13019837,3420,Mouse78743,0.0,040623
0.08357369,0.13836028,3480,Mouse78743,0.0,040623
0.084489234,0.13738936,3540,Mouse78743,0.0,040623
0.09768601,0.17140374,0,Mouse78743,1.0,040623
0.09718425,0.16377379,60,Mouse78743,1.0,040623
0.0998458,0.16509156,120,Mouse78743,1.0,040623
0.098762214,0.16232099,180,Mouse78743,1.0,040623
0.09971403,0.17206345,240,Mouse78743,1.0,040623
0.1011145,0.1681346,300,Mouse78743,1.0,040623
0.10378644,0.16891934,360,Mouse78743,1.0,040623
0.102617286,0.18052582,420,Mouse78743,1.0,040623
0.09865271,0.166791,480,Mouse78743,1.0,040623
0.10338015,0.1627688,540,Mouse78743,1.0,040623
0.09791301,0.15906127,600,Mouse78743,1.0,040623
0.09843895,0.18110059,660,Mouse78743,1.0,040623
0.10510222,0.15887989,720,Mouse78743,1.0,040623
0.10299627,0.16475956,780,Mouse78743,1.0,040623
0.09334337,0.1647643,840,Mouse78743,1.0,040623
0.10557924,0.16135706,900,Mouse78743,1.0,040623
0.09549212,0.17001657,960,Mouse78743,1.0,040623
0.09917731,0.17751382,1020,Mouse78743,1.0,040623
0.099596895,0.17033249,1080,Mouse78743,1.0,040623
0.097071715,0.1733977,1140,Mouse78743,1.0,040623
0.097728096,0.17232136,1200,Mouse78743,1.0,040623
0.097290486,0.17012863,1260,Mouse78743,1.0,040623
0.09771193,0.16572504,1320,Mouse78743,1.0,040623
0.09469821,0.16622782,1380,Mouse78743,1.0,040623
0.09210105,0.16132294,1440,Mouse78743,1.0,040623
0.09644428,0.15908547,1500,Mouse78743,1.0,040623
0.09764181,0.1556601,1560,Mouse78743,1.0,040623
0.09849357,0.1661044,1620,Mouse78743,1.0,040623
0.09985404,0.16024344,1680,Mouse78743,1.0,040623
0.0968005,0.16609699,1740,Mouse78743,1.0,040623
0.1073512,0.17624217,1800,Mouse78743,1.0,040623
0.100089945,0.1631257,1860,Mouse78743,1.0,040623
0.09550634,0.1614143,1920,Mouse78743,1.0,040623
0.09859507,0.16523765,1980,Mouse78743,1.0,040623
0.09655318,0.15499075,2040,Mouse78743,1.0,040623
0.09827854,0.15388082,2100,Mouse78743,1.0,040623
0.0986308,0.1601379,2160,Mouse78743,1.0,040623
0.1040987,0.16363193,2220,Mouse78743,1.0,040623
0.09530226,0.16217545,2280,Mouse78743,1.0,040623
0.099998556,0.16841824,2340,Mouse78743,1.0,040623
0.10291923,0.1710679,2400,Mouse78743,1.0,040623
0.09967803,0.15950002,2460,Mouse78743,1.0,040623
0.09966832,0.16893387,2520,Mouse78743,1.0,040623
0.10069522,0.16843443,2580,Mouse78743,1.0,040623
0.103792615,0.16501172,2640,Mouse78743,1.0,040623
0.09901331,0.15760654,2700,Mouse78743,1.0,040623
0.09635431,0.14815375,2760,Mouse78743,1.0,040623
0.1037321,0.15905398,2820,Mouse78743,1.0,040623
0.09504869,0.1787258,2880,Mouse78743,1.0,040623
0.093174756,0.16917035,2940,Mouse78743,1.0,040623
0.095758446,0.14801833,3000,Mouse78743,1.0,040623
0.10462133,0.17087255,3060,Mouse78743,1.0,040623
0.09742776,0.16852216,3120,Mouse78743,1.0,040623
0.08964979,0.16953248,3180,Mouse78743,1.0,040623
0.09451222,0.17110397,3240,Mouse78743,1.0,040623
0.10493093,0.1690587,3300,Mouse78743,1.0,040623
0.098888874,0.1682253,3360,Mouse78743,1.0,040623
0.100404225,0.1790983,3420,Mouse78743,1.0,040623
0.09262014,0.16571863,3480,Mouse78743,1.0,040623
0.09599136,0.17703855,3540,Mouse78743,1.0,040623
0.094858624,0.14891502,0,Mouse78745,0.0,040623
0.0906475,0.14375365,60,Mouse78745,0.0,040623
0.09533287,0.14294563,120,Mouse78745,0.0,040623
0.093125984,0.14026451,180,Mouse78745,0.0,040623
0.09335869,0.14238003,240,Mouse78745,0.0,040623
0.09361803,0.14274436,300,Mouse78745,0.0,040623
0.09531891,0.14801867,360,Mouse78745,0.0,040623
0.08643567,0.13790685,420,Mouse78745,0.0,040623
0.087742165,0.14252499,480,Mouse78745,0.0,040623
0.0920384,0.13998047,540,Mouse78745,0.0,040623
0.0896822,0.13464631,600,Mouse78745,0.0,040623
0.09163635,0.14353204,660,Mouse78745,0.0,040623
0.09144898,0.13440464,720,Mouse78745,0.0,040623
0.09341142,0.13719209,780,Mouse78745,0.0,040623
0.092151076,0.14307767,840,Mouse78745,0.0,040623
0.08966801,0.13768193,900,Mouse78745,0.0,040623
0.08625888,0.13168073,960,Mouse78745,0.0,040623
0.086740606,0.12342548,1020,Mouse78745,0.0,040623
0.0866469,0.13580419,1080,Mouse78745,0.0,040623
0.08314143,0.13241173,1140,Mouse78745,0.0,040623
0.0840984,0.14221859,1200,Mouse78745,0.0,040623
0.07893768,0.13794003,1260,Mouse78745,0.0,040623
0.08725116,0.13019414,1320,Mouse78745,0.0,040623
0.08809541,0.12999429,1380,Mouse78745,0.0,040623
0.08844154,0.13759099,1440,Mouse78745,0.0,040623
0.0876809,0.13411775,1500,Mouse78745,0.0,040623
0.08601945,0.122605,1560,Mouse78745,0.0,040623
0.087035656,0.12693729,1620,Mouse78745,0.0,040623
