,Event Number,mouse,time,group,net 1,net 2,net 3,agg scores
974,Tone 7,Mouse9064,14,group 2,0.113071009516716,0.14896342158317566,0.09751694649457932,3.6618008613586426
975,Tone 7,Mouse9064,15,group 2,0.10450757294893265,0.11278095096349716,0.09617333859205246,2.973659038543701
976,Tone 7,Mouse9064,16,group 2,0.07871659845113754,0.14979766309261322,0.0603330172598362,3.312321901321411
977,Tone 7,Mouse9064,17,group 2,0.1201866865158081,0.1502244770526886,0.011201835237443447,3.690077304840088
978,Tone 7,Mouse9064,18,group 2,0.12160222977399826,0.0940076932311058,0.0314718559384346,2.781266689300537
979,Tone 7,Mouse9064,19,group 2,0.1259692907333374,0.1422526091337204,0.04089852049946785,3.635279417037964
980,Tone 7,Mouse9064,20,group 2,0.11027128994464874,0.115114226937294,0.054151859134435654,3.0386159420013428
981,Tone 7,Mouse9064,21,group 2,0.08878950774669647,0.08374529331922531,0.03309040516614914,2.28993821144104
982,Tone 7,Mouse9064,22,group 2,0.07950689643621445,0.09562919288873672,0.04645214229822159,2.4068336486816406
983,Tone 7,Mouse9064,23,group 2,0.10667631775140762,0.08019918203353882,0.009448030032217503,2.388901472091675
984,Tone 7,Mouse9064,24,group 2,0.15500019490718842,0.2046007513999939,0.036070361733436584,4.955705165863037
985,Tone 7,Mouse9064,25,group 2,0.11346104741096497,0.16293096542358398,0.038711536675691605,3.8559682369232178
986,Tone 7,Mouse9064,26,group 2,0.14354948699474335,0.19237133860588074,0.04902731254696846,4.649014472961426
987,Tone 7,Mouse9064,27,group 2,0.10428625345230103,0.11490318179130554,0.016246464103460312,2.9490530490875244
988,Tone 7,Mouse9064,28,group 2,0.09705090522766113,0.10157385468482971,0.032215092331171036,2.667489528656006
989,Tone 7,Mouse9064,29,group 2,0.12709647417068481,0.1589718610048294,0.07086631655693054,3.9467716217041016
990,Tone 7,Mouse9064,30,group 2,0.08504246175289154,0.0910094752907753,0.06149639934301376,2.3949084281921387
991,Tone 7,Mouse9064,31,group 2,0.0784468874335289,0.10410721600055695,0.005764849949628115,2.508375406265259
992,Tone 7,Mouse9064,32,group 2,0.08536473661661148,0.15718694031238556,0.03640381246805191,3.483332395553589
993,Tone 7,Mouse9064,33,group 2,0.07701164484024048,0.08351801335811615,0.07068172842264175,2.1979846954345703
994,Tone 7,Mouse9064,34,group 2,0.06293261796236038,0.05510430037975311,0.07148701697587967,1.586908221244812
995,Tone 7,Mouse9064,35,group 2,0.12669646739959717,0.2217591553926468,0.04381408169865608,4.970177173614502
996,Tone 7,Mouse9064,36,group 2,0.09733892977237701,0.14066940546035767,0.032202836126089096,3.3221678733825684
997,Tone 7,Mouse9064,37,group 2,0.1121501699090004,0.11528511345386505,0.05210172012448311,3.058384895324707
998,Tone 7,Mouse9064,38,group 2,0.10919136554002762,0.11476495116949081,0.01987803913652897,2.9974193572998047
999,Tone 7,Mouse9064,39,group 2,0.09708151966333389,0.07925666868686676,0.01724623329937458,2.284850835800171
1000,Tone 7,Mouse9065,-10,group 2,0.07004693895578384,0.16807174682617188,0.04463128373026848,3.520742893218994
1001,Tone 7,Mouse9065,-9,group 2,0.03849007189273834,0.1012384295463562,0.06878062337636948,2.1147704124450684
1002,Tone 7,Mouse9065,-8,group 2,0.023195752874016762,0.08491481840610504,0.07944563776254654,1.7005099058151245
1003,Tone 7,Mouse9065,-7,group 2,0.02925741858780384,0.08963041752576828,0.10444123297929764,1.856590986251831
1004,Tone 7,Mouse9065,-6,group 2,0.06242288276553154,0.18373148143291473,0.06892745941877365,3.724750518798828
1005,Tone 7,Mouse9065,-5,group 2,0.05622077360749245,0.13495349884033203,0.020552365109324455,2.8156983852386475
1006,Tone 7,Mouse9065,-4,group 2,0.052085332572460175,0.13906951248645782,0.07475609332323074,2.8830361366271973
1007,Tone 7,Mouse9065,-3,group 2,0.06643686443567276,0.14893504977226257,0.06611385941505432,3.1818461418151855
1008,Tone 7,Mouse9065,-2,group 2,0.04190326854586601,0.1587766408920288,0.12985734641551971,3.1517603397369385
1009,Tone 7,Mouse9065,-1,group 2,0.011964335106313229,0.0598820336163044,0.09481743723154068,1.1842350959777832
1010,Tone 7,Mouse9065,0,group 2,0.04915754497051239,0.11308224499225616,0.14233464002609253,2.46994686126709
1011,Tone 7,Mouse9065,1,group 2,0.046580761671066284,0.0792670026421547,0.09427224099636078,1.8461132049560547
1012,Tone 7,Mouse9065,2,group 2,0.04609061777591705,0.18813297152519226,0.07194534689188004,3.640354633331299
1013,Tone 7,Mouse9065,3,group 2,0.04428304731845856,0.08730734884738922,0.0506807416677475,1.926133632659912
1014,Tone 7,Mouse9065,4,group 2,0.04794111102819443,0.10142136365175247,0.06964080780744553,2.211012125015259
1015,Tone 7,Mouse9065,5,group 2,0.05780484899878502,0.10012236982584,0.048173729330301285,2.2704339027404785
1016,Tone 7,Mouse9065,6,group 2,0.023680822923779488,0.09608592838048935,0.11465436965227127,1.9169962406158447
1017,Tone 7,Mouse9065,7,group 2,0.021224159747362137,0.07092401385307312,0.11439763754606247,1.4732071161270142
1018,Tone 7,Mouse9065,8,group 2,0.0434708334505558,0.09079639613628387,0.05770982429385185,1.9814387559890747
1019,Tone 7,Mouse9065,9,group 2,0.06101798266172409,0.0759577602148056,0.04818115755915642,1.8989979028701782
1020,Tone 7,Mouse9065,10,group 2,0.055982425808906555,0.15371474623680115,0.09586610645055771,3.180668592453003
1021,Tone 7,Mouse9065,11,group 2,0.0482981875538826,0.07809097319841385,0.10500533878803253,1.851090908050537
1022,Tone 7,Mouse9065,12,group 2,0.02287597768008709,0.09091979265213013,0.11476141214370728,1.823052167892456
