,mouse,expDate,social mean agg,social mean net 1,social mean net 2,social mean net 3,object mean agg,object mean net 1,object mean net 2,object mean net 3
90,Mouse0644,092317,4.441073894500732,0.0918605625629425,0.21080264449119568,0.03660685196518898,4.5064921379089355,0.09207233786582947,0.2144913375377655,0.039149489253759384
91,Mouse0644,092617,4.710073471069336,0.09486907720565796,0.22519683837890625,0.03595520183444023,4.7909746170043945,0.09731515496969223,0.22901754081249237,0.026607660576701164
92,Mouse0644,093017,4.536008358001709,0.08455956727266312,0.22083766758441925,0.035395894199609756,4.629351615905762,0.08606672286987305,0.22551269829273224,0.03626962751150131
93,Mouse0644,100317,4.359411239624023,0.08446160703897476,0.21046459674835205,0.03169136866927147,4.397959232330322,0.08727899938821793,0.2110653966665268,0.03298218920826912
94,Mouse0644,100517,4.553588390350342,0.08980044722557068,0.2185220867395401,0.04210912436246872,4.344210147857666,0.08469484746456146,0.2093040496110916,0.034268975257873535
95,Mouse0644,100717,4.7918572425842285,0.09073018282651901,0.23204688727855682,0.04716091230511665,4.747838973999023,0.09517917037010193,0.22727525234222412,0.036057133227586746
96,Mouse0644,101017,4.632249355316162,0.09258727729320526,0.22194252908229828,0.034277696162462234,4.428812026977539,0.0911625400185585,0.21084176003932953,0.02820769138634205
97,Mouse5321,052616,4.252836227416992,0.14205777645111084,0.16974873840808868,0.042992349714040756,4.35297155380249,0.13638892769813538,0.17850248515605927,0.05640403926372528
98,Mouse5321,053116,3.8849732875823975,0.1309499740600586,0.1544385552406311,0.03775466978549957,3.8497822284698486,0.12395146489143372,0.15625855326652527,0.041915878653526306
99,Mouse5321,060216,4.34603214263916,0.1458105593919754,0.17328254878520966,0.039561014622449875,4.053709506988525,0.13985030353069305,0.15932516753673553,0.037869807332754135
100,Mouse5321,060716,4.432433605194092,0.10939855873584747,0.19962215423583984,0.04490262642502785,4.3618645668029785,0.10492923855781555,0.19849221408367157,0.03390946611762047
101,Mouse5321,060916,4.77238655090332,0.08492423593997955,0.2346314787864685,0.039284709841012955,4.90489387512207,0.07851973176002502,0.24666334688663483,0.03185003250837326
102,Mouse5321,061416,3.654993772506714,0.08355158567428589,0.16853854060173035,0.03660750389099121,3.7990639209747314,0.08261418342590332,0.17774276435375214,0.03630870208144188
103,Mouse5331,052416,3.006878137588501,0.09860487282276154,0.12084857374429703,0.03606925532221794,2.8218700885772705,0.09427685290575027,0.11213868856430054,0.03967458754777908
104,Mouse5331,053116,2.9913392066955566,0.09364856034517288,0.1223551407456398,0.0469694584608078,3.1379504203796387,0.09577680379152298,0.12987051904201508,0.04760049283504486
105,Mouse5331,060716,2.9316163063049316,0.09693758934736252,0.11683789640665054,0.0470455102622509,2.8253111839294434,0.09287412464618683,0.11273520439863205,0.049674082547426224
106,Mouse5331,061416,3.4123330116271973,0.08820818364620209,0.15099696815013885,0.04242965206503868,3.5010900497436523,0.09026874601840973,0.1548999547958374,0.04726427048444748
107,Mouse5331,061616,3.5188114643096924,0.09346016496419907,0.15395456552505493,0.05034143105149269,3.2853527069091797,0.0884784609079361,0.14293190836906433,0.04912876337766647
108,Mouse5331,070516,3.6706326007843018,0.1130933165550232,0.15162554383277893,0.04806798696517944,3.314958095550537,0.10240054130554199,0.13634692132472992,0.05333057790994644
109,Mouse5331,070716,,,,,3.030033826828003,0.1090708002448082,0.1145516186952591,0.07150895148515701
110,Mouse5332,052416,3.504995346069336,0.0924750491976738,0.15385322272777557,0.04691633582115173,3.53755259513855,0.09232495725154877,0.15597957372665405,0.04494437947869301
111,Mouse5332,053116,3.5949182510375977,0.09348254650831223,0.15858031809329987,0.04862593486905098,3.5817573070526123,0.09204160422086716,0.15878303349018097,0.0452706478536129
