scores,y_mouse,y_expDate,y_time,y_flx
11.67246,Mouse99003,072321,2898,1
8.943699,Mouse99003,072321,2899,1
9.405193,Mouse99003,072321,2900,1
7.628182,Mouse99003,072321,2901,1
11.781361,Mouse99003,072321,2902,1
9.11635,Mouse99003,072321,2903,1
8.755659,Mouse99003,072321,2904,1
6.3703785,Mouse99003,072321,2905,1
8.588455,Mouse99003,072321,2906,1
4.000515,Mouse99003,072321,2907,1
16.936167,Mouse99003,072321,2908,1
13.745028,Mouse99003,072321,2909,1
15.80406,Mouse99003,072321,2910,1
10.509443,Mouse99003,072321,2911,1
8.535039,Mouse99003,072321,2912,1
9.9148,Mouse99003,072321,2913,1
10.852048,Mouse99003,072321,2914,1
11.261435,Mouse99003,072321,2915,1
9.308689,Mouse99003,072321,2916,1
7.0450926,Mouse99003,072321,2917,1
12.450456,Mouse99003,072321,2918,1
19.865917,Mouse99003,072321,2919,1
8.219017,Mouse99003,072321,2920,1
7.056472,Mouse99003,072321,2921,1
8.049698,Mouse99003,072321,2922,1
7.4984007,Mouse99003,072321,2923,1
7.021533,Mouse99003,072321,2924,1
7.498743,Mouse99003,072321,2925,1
12.682234,Mouse99003,072321,2926,1
10.352003,Mouse99003,072321,2927,1
7.662592,Mouse99003,072321,2928,1
10.753228,Mouse99003,072321,2929,1
11.627346,Mouse99003,072321,2930,1
14.463136,Mouse99003,072321,2931,1
7.6776505,Mouse99003,072321,2932,1
10.17451,Mouse99003,072321,2933,1
12.951107,Mouse99003,072321,2934,1
7.3361087,Mouse99003,072321,2935,1
12.30308,Mouse99003,072321,2936,1
10.3931675,Mouse99003,072321,2937,1
10.122985,Mouse99003,072321,2938,1
7.0871067,Mouse99003,072321,2939,1
12.814267,Mouse99003,072321,2940,1
9.534936,Mouse99003,072321,2941,1
9.722336,Mouse99003,072321,2942,1
10.8998995,Mouse99003,072321,2943,1
9.678334,Mouse99003,072321,2944,1
12.231871,Mouse99003,072321,2945,1
5.0023837,Mouse99003,072321,2946,1
9.664729,Mouse99003,072321,2947,1
10.504284,Mouse99003,072321,2948,1
7.4515,Mouse99003,072321,2949,1
6.936324,Mouse99003,072321,2950,1
5.503206,Mouse99003,072321,2951,1
10.911274,Mouse99003,072321,2952,1
13.022486,Mouse99003,072321,2953,1
10.240527,Mouse99003,072321,2954,1
13.967556,Mouse99003,072321,2955,1
11.823588,Mouse99003,072321,2956,1
10.201081,Mouse99003,072321,2957,1
10.146304,Mouse99003,072321,2958,1
9.28173,Mouse99003,072321,2959,1
6.3537974,Mouse99003,072321,2960,1
14.283026,Mouse99003,072321,2961,1
7.966052,Mouse99003,072321,2962,1
11.089688,Mouse99003,072321,2963,1
9.798715,Mouse99003,072321,2964,1
11.778514,Mouse99003,072321,2965,1
4.1217556,Mouse99003,072321,2966,1
9.681973,Mouse99003,072321,2967,1
10.164529,Mouse99003,072321,2968,1
10.052431,Mouse99003,072321,2969,1
9.37843,Mouse99003,072321,2970,1
9.979214,Mouse99003,072321,2971,1
8.351634,Mouse99003,072321,2972,1
8.5078,Mouse99003,072321,2973,1
14.514486,Mouse99003,072321,2974,1
11.617575,Mouse99003,072321,2975,1
10.708923,Mouse99003,072321,2976,1
11.440517,Mouse99003,072321,2977,1
11.489076,Mouse99003,072321,2978,1
17.338886,Mouse99003,072321,2979,1
9.242907,Mouse99003,072321,2980,1
8.24239,Mouse99003,072321,2981,1
6.0396585,Mouse99003,072321,2982,1
14.0241785,Mouse99003,072321,2983,1
13.50254,Mouse99003,072321,2984,1
7.3124557,Mouse99003,072321,2985,1
15.067175,Mouse99003,072321,2986,1
15.481965,Mouse99003,072321,2987,1
17.860239,Mouse99003,072321,2988,1
11.959565,Mouse99003,072321,2989,1
14.397877,Mouse99003,072321,2990,1
15.917302,Mouse99003,072321,2991,1
8.205947,Mouse99003,072321,2992,1
15.634266,Mouse99003,072321,2993,1
7.2352796,Mouse99003,072321,2994,1
11.911486,Mouse99003,072321,2995,1
11.190715,Mouse99003,072321,2996,1
8.892705,Mouse99003,072321,2997,1
6.433295,Mouse99003,072321,2998,1
7.9669995,Mouse99003,072321,2999,1
12.527765,Mouse99003,072321,3000,1
9.749622,Mouse99003,072321,3001,1
13.436104,Mouse99003,072321,3002,1
9.033483,Mouse99003,072321,3003,1
13.146693,Mouse99003,072321,3004,1
10.622293,Mouse99003,072321,3005,1
